,worker_name,machine,start_time,end_time,machine_cpu_iowait,machine_cpu_kernel,machine_cpu_usr,machine_gpu,machine_load_1,machine_net_receive,machine_num_worker,machine_cpu,job_name,task_name,inst_id,gpu_name,cpu_usage,gpu_wrk_util,avg_mem,max_mem,avg_gpu_wrk_mem,max_gpu_wrk_mem,read,write,read_count,write_count
1138354,6ba92583ce57cfd3744a50fbf3245fdf53db4103d033a3f54fdd0ceca3f2,851d52e9301aeafd051e2f2b,2132902,2134658,,,,,,,,,702d4751983f36e1acf3b222,worker,6b1d30879d310f29c54523ed557aac362e46788203091437604c7d867dbb,/dev/nvidia0,34.76704545454545,0.0,1.6799137093926553,1.7685546875,0.1322773216807909,0.1337890625,2934858.379213483,463198502.0758427,20413.68820224719,11418.047752808989
1139427,043eb35e4d887020a33aad5e3d5c0c8a4dd96fb9f4b5d2ac5449ba02fe28,851d52e9301aeafd051e2f2b,2130486,2131370,,,,,,,,,1c064a7bfc5529a640376056,tensorflow,635ff0c52f66ccba5446562144efb8e61db1fe402f23a52e73d3f089dd3b,/dev/nvidia4,211.65789473684208,45.48717948717949,19.09730568910257,21.943359375,4.3544921875,4.3544921875,1049624210.6410255,4842698.256410256,12515.897435897436,10374.923076923076
1139428,879b6568e59605d0496315e28bcd523c5806b656ec5af138f346bd7ea074,851d52e9301aeafd051e2f2b,2132609,2134781,,,,,,,,,3f96f391c091f571390d4296,tensorflow,d0058329e4e0b6515201619af3a961a96bd9cc350da5829098476ecf8345,/dev/nvidia2,216.2344827586207,0.0,3.038088177322248,3.404296875,0.1990171659977064,0.2001953125,1141363294.5821917,3072715.8607305936,305349.8105022831,11814.1301369863
1147584,a23f4683a59f142acf3f40ea2b1a6f5b376c78ae835a452ca94795a7e458,72589c833bbdadca0cf899e7,2130262,2133107,,,,,,,,,4799b6d39bfc5ec8a057bdc2,worker,26301e04863e7d09f801eae6367b4c6cb70e4d059d841cec2be6100c7b81,/dev/nvidia5,524.0052083333334,9.626943005181348,12.688924364475389,14.0263671875,4.3271484375,4.3271484375,1456774835.748705,47195777.08031088,14265.541450777202,9631.92487046632
1147585,86fa1c5cff96be58dd1670a1d7c6d37d4305ee9109018dab3ac9fe71f289,72589c833bbdadca0cf899e7,2133148,2133154,,,,,,,,,574766cb664b40e912e908a3,other,295024394394262d2de0f742bf36d3f9a17c79a1fad15c94e97cfa4b174e,/dev/nvidia1,38.333333333333336,0.0,0.0052083333333333,0.005859375,0.0,0.0,121234.33333333331,130742.0,142.66666666666666,111.0
1152740,b19e6af68228172b8d21cc65ed613caabb2cb639f7b94abf9abeadae657c,17cddff5b1a3c961b9b66f7b,2130805,2132025,,,,,,,,,28bb7880eb0d7457f1012e32,worker,c66429ad0bad246dc2554702aba7715dfb7c20e636b4ad38519bda526350,/dev/nvidia4,396.8502994011977,5.9763313609467446,10.558518629807692,13.751953125,1.7647640070266275,2.3271484375,1098166669.3550296,58668750.36686391,24080.804733727808,15982.378698224851
1152741,acbcbdf9f83406082c9df68ce4d931c1e293d5fc2859fdaa7172eee5782e,17cddff5b1a3c961b9b66f7b,2133590,2134780,,,,,,,,,48a7b3d1623b0956de3a586b,worker,14460d0e001fee10f7e322d8a104934880fe9d7e705cebc9e14c2966d0c9,/dev/nvidia1,396.4915966386554,7.593360995850623,8.378991344657676,13.4453125,1.4154199623962656,2.3271484375,1013570945.9012346,54104288.33744856,23891.925925925927,14928.065843621398
1153110,06f3b71dabe6167f5183cad6e60950e17dd7c8094dc251641cb171bbcf01,17cddff5b1a3c961b9b66f7b,2136105,2136231,,,,,,,,,11b71c3b812943b2ab6f8a0b,worker,5524deea81d7de5520a2ab663267a0661eaf2b5e0eaa61e80b9f9e9d2deb,/dev/nvidia2,128.48,2.571428571428572,4.505172164351854,15.5810546875,1.8384835379464288,4.3466796875,266115886.13793105,23369598.79310345,9714.41379310345,3386.896551724138
1153727,ced9831e874e6525f6f9f4aaeb207d53cbeb989d1fe58bc2d5cce0029254,17cddff5b1a3c961b9b66f7b,2135614,2136416,,,,,,,,,ada0e0fd611bd4486f935286,worker,236b300df63b2ba05f1aa1fd11e2c9f606912167207da632a34f99b28162,/dev/nvidia4,228.125,1.8895705521472392,3.629038055981595,5.240234375,0.2950776457055214,0.4052734375,77359840.65853658,4559602.256097562,3169.6524390243903,1094.6463414634147
1153971,f977901c5d3043377d45f0e3a992e2c5c43547f0fcf274f424bdcd37ddac,17cddff5b1a3c961b9b66f7b,2130262,2133062,,,,,,,,,4799b6d39bfc5ec8a057bdc2,worker,26301e04863e7d09f801eae6367b4c6cb70e4d059d841cec2be6100c7b81,/dev/nvidia1,568.3093333333334,7.320954907161803,12.950899888096814,14.462890625,4.3271484375,4.3271484375,1555350862.159151,50878137.64986737,15639.846153846154,9746.127320954907
1153972,e67b07f7a8e337129a650312ef6b01e3962569b151652a9549e58802a044,17cddff5b1a3c961b9b66f7b,2131135,2131897,,,,,,,,,0724fa10b67aecb4f7e31662,worker,f68e5775d8f27902128ba08b77a91eb8d1d85c41110004796142a7355679,/dev/nvidia4,404.46853146853135,9.416666666666666,5.598836263020832,8.0478515625,1.825927734375,2.3271484375,1435604727.5763884,6545012.055555556,14397.694444444443,8375.111111111111
1153973,95985414e1916931ef8f5a548d23ab2211777fca9c127c1b23b8b9409454,17cddff5b1a3c961b9b66f7b,2132287,2133152,,,,,,,,,58119d813a41b9d2e8b4b675,worker,903ac5bc154525b4c575fb47ca36714666bab65f1608f2c6e0b8141db06b,/dev/nvidia4,411.78034682080926,7.211428571428572,5.49421875,8.025390625,1.7955078125,2.3427734375,1423009433.8644068,6875746.920903955,15538.853107344632,8624.045197740114
1153974,d46cd03c75ef788700069880bbdb34fb0e62053817fb1bc3cb009ea17b70,17cddff5b1a3c961b9b66f7b,2132297,2132311,,,,,,,,,61ce39117866e2e2c137fc85,other,85a1f25f72446d85d874ed51a22677f9e36df43fb687b6e794df2bf455a0,/dev/nvidia5,40.8,0.0,0.0408203125,0.1318359375,0.0,0.0,118873.0,188147.75,235.25,98.25
1153975,131ea3743313afce5fee48b615598276d68fb7f0f9161fa0cbb139f00424,17cddff5b1a3c961b9b66f7b,2132438,2132438,,,,,,,,,0d67d4469fc8eb8b009ab160,other,c50282609d9c31bcdce3c662ba01a235cf69d980dca9475f35741e574acb,/dev/nvidia5,46.0,0.0,0.0374348958333333,0.103515625,0.0,0.0,138007.0,227320.6,312.4,110.4
1153976,10d20cb745d735991f6b9e65755dec89a1956a4a535d68de8552c383cb75,17cddff5b1a3c961b9b66f7b,2132517,2132518,,,,,,,,,6823e5f9487992e1f25e6b9a,other,c5d8ac95ad8d598e659b6d7d238d1d1f6862aff13ab67e8e2b282b5150ae,/dev/nvidia5,50.0,0.0,0.0416666666666666,0.115234375,0.0,0.0,139787.2,249093.0,319.6,114.8
1153977,e3990b63869fff4df91106e553c8b56d53176a536c0b3ba575eb1888a2c2,17cddff5b1a3c961b9b66f7b,2132668,2132680,,,,,,,,,a1e416ae488188be820a41bb,other,cca0b66f1eaaa6f856a2a0663e47129cf5aa9e4e8ec969a0df657b217af4,/dev/nvidia5,38.2,0.0,0.043359375,0.115234375,0.0,0.0,142592.0,264338.75,356.375,107.375
1153978,b394f8e0e2b26f98a16eb06763e22f0e21ecf06e1f9751b1e492cdf766a2,17cddff5b1a3c961b9b66f7b,2132709,2133058,,,,,,,,,4e0e1ab180ab2fb2058cf2f2,worker,6f397952f184d63ca7385625ab4f6be2f46e7cdbd1f9315a0ee01bac3454,/dev/nvidia0,121.04225352112675,1.0,1.815877278645833,6.3076171875,0.3689507378472221,2.3427734375,84635226.28378378,15284987.337837838,5925.121621621624,4190.013513513513
1153979,bc78a12640587c0ac9a743e43dcbe00b9144f65f509fdad5374a8104ba92,17cddff5b1a3c961b9b66f7b,2132718,2132718,,,,,,,,,9d8d74f85f9b144627a17fd3,other,889760fae507ef71e67003044747c2877b9796fab1bd78ca471cc2162e5d,/dev/nvidia5,59.33333333333334,0.0,0.0377604166666666,0.103515625,0.0,0.0,140096.8,227377.0,313.2,111.2
1153980,4d08176617d5c90f77e0fd084c8847bd864d724928ea91c8ed85ec735e41,17cddff5b1a3c961b9b66f7b,2133098,2133098,,,,,,,,,8c6e209c7b355092f9fd8b06,other,562ee8b249ec268998a43cf4beefc3f5daa84337d5f0253794f40238d32d,/dev/nvidia5,53.33333333333334,0.0,0.0052083333333333,0.005859375,0.0,0.0,97972.0,104419.6,117.2,88.0
1153981,275c6d75436416cd31d131369c46ed1412198ed549ea8822995a663b5f72,17cddff5b1a3c961b9b66f7b,2133149,2133169,,,,,,,,,574766cb664b40e912e908a3,other,295024394394262d2de0f742bf36d3f9a17c79a1fad15c94e97cfa4b174e,/dev/nvidia5,28.83333333333333,0.0,0.04345703125,0.1240234375,0.0,0.0,192477.5,356015.3,335.4,130.8
